REGION,EMISSION,YEAR,VALUE
REGION1,ATHY,2015,147.668436
REGION1,ATHY,2016,149.25942
REGION1,ATHY,2017,150.850404
REGION1,ATHY,2018,152.441388
REGION1,ATHY,2019,154.032372
REGION1,ATHY,2020,155.623356
REGION1,ATHY,2021,156.5695728
REGION1,ATHY,2022,157.5157896
REGION1,ATHY,2023,158.4620064
REGION1,ATHY,2024,159.4082232
REGION1,ATHY,2025,160.35444
REGION1,ATHY,2026,160.3711872
REGION1,ATHY,2027,160.3879344
REGION1,ATHY,2028,160.4046816
REGION1,ATHY,2029,160.4214288
REGION1,ATHY,2030,160.438176
REGION1,ATHY,2031,160.7228784
REGION1,ATHY,2032,161.0075808
REGION1,ATHY,2033,161.2922832
REGION1,ATHY,2034,161.5769856
REGION1,ATHY,2035,161.861688
REGION1,ATHY,2036,161.9621712
REGION1,ATHY,2037,162.0626544
REGION1,ATHY,2038,162.1631376
REGION1,ATHY,2039,162.2636208
REGION1,ATHY,2040,162.364104
REGION1,ATHY,2041,162.3724776
REGION1,ATHY,2042,162.3808512
REGION1,ATHY,2043,162.3892248
REGION1,ATHY,2044,162.3975984
REGION1,ATHY,2045,162.405972
REGION1,ATHY,2046,162.8916408
REGION1,ATHY,2047,163.3773096
REGION1,ATHY,2048,163.8629784
REGION1,ATHY,2049,164.3486
REGION1,ATHY,2050,164.834316
REGION1,ATHY,2051,164.9991503
REGION1,ATHY,2052,165.1641495
REGION1,ATHY,2053,165.3293136
REGION1,ATHY,2054,165.4946429
REGION1,ATHY,2055,165.6601376
REGION1,ATHY,2056,165.8257977
REGION1,ATHY,2057,165.9916235
REGION1,ATHY,2058,166.1576151
REGION1,ATHY,2059,166.3237727
REGION1,ATHY,2060,166.4900965
REGION1,BEHO,2015,1.297908
REGION1,BEHO,2016,1.3062816
REGION1,BEHO,2017,1.3146552
REGION1,BEHO,2018,1.3230288
REGION1,BEHO,2019,1.3314024
REGION1,BEHO,2020,1.339776
REGION1,BEHO,2021,1.339776
REGION1,BEHO,2022,1.339776
REGION1,BEHO,2023,1.339776
REGION1,BEHO,2024,1.339776
REGION1,BEHO,2025,1.339776
REGION1,BEHO,2026,1.4821272
REGION1,BEHO,2027,1.6244784
REGION1,BEHO,2028,1.7668296
REGION1,BEHO,2029,1.9091808
REGION1,BEHO,2030,2.051532
REGION1,BEHO,2031,2.0599056
REGION1,BEHO,2032,2.0682792
REGION1,BEHO,2033,2.0766528
REGION1,BEHO,2034,2.0850264
REGION1,BEHO,2035,2.0934
REGION1,BEHO,2036,2.1017736
REGION1,BEHO,2037,2.1101472
REGION1,BEHO,2038,2.1185208
REGION1,BEHO,2039,2.1268944
REGION1,BEHO,2040,2.135268
REGION1,BEHO,2041,2.1436416
REGION1,BEHO,2042,2.1520152
REGION1,BEHO,2043,2.1603888
REGION1,BEHO,2044,2.1687624
REGION1,BEHO,2045,2.177136
REGION1,BEHO,2046,2.1938832
REGION1,BEHO,2047,2.2106304
REGION1,BEHO,2048,2.2273776
REGION1,BEHO,2049,2.2441
REGION1,BEHO,2050,2.260872
REGION1,BEHO,2051,2.27217636
REGION1,BEHO,2052,2.283537242
REGION1,BEHO,2053,2.294954928
REGION1,BEHO,2054,2.306429703
REGION1,BEHO,2055,2.317961851
REGION1,BEHO,2056,2.32955166
REGION1,BEHO,2057,2.341199419
REGION1,BEHO,2058,2.352905416
REGION1,BEHO,2059,2.364669943
REGION1,BEHO,2060,2.376493293
REGION1,BGHO,2015,14.611932
REGION1,BGHO,2016,14.8045248
REGION1,BGHO,2017,14.9971176
REGION1,BGHO,2018,15.1897104
REGION1,BGHO,2019,15.3823032
REGION1,BGHO,2020,15.574896
REGION1,BGHO,2021,15.5079072
REGION1,BGHO,2022,15.4409184
REGION1,BGHO,2023,15.3739296
REGION1,BGHO,2024,15.3069408
REGION1,BGHO,2025,15.239952
REGION1,BGHO,2026,15.2315784
REGION1,BGHO,2027,15.2232048
REGION1,BGHO,2028,15.2148312
REGION1,BGHO,2029,15.2064576
REGION1,BGHO,2030,15.198084
REGION1,BGHO,2031,15.198084
REGION1,BGHO,2032,15.198084
REGION1,BGHO,2033,15.198084
REGION1,BGHO,2034,15.198084
REGION1,BGHO,2035,15.198084
REGION1,BGHO,2036,15.198084
REGION1,BGHO,2037,15.198084
REGION1,BGHO,2038,15.198084
REGION1,BGHO,2039,15.198084
REGION1,BGHO,2040,15.198084
REGION1,BGHO,2041,15.198084
REGION1,BGHO,2042,15.198084
REGION1,BGHO,2043,15.198084
REGION1,BGHO,2044,15.198084
REGION1,BGHO,2045,15.198084
REGION1,BGHO,2046,15.2064576
REGION1,BGHO,2047,15.2148312
REGION1,BGHO,2048,15.2232048
REGION1,BGHO,2049,15.2316
REGION1,BGHO,2050,15.239952
REGION1,BGHO,2051,15.239952
REGION1,BGHO,2052,15.239952
REGION1,BGHO,2053,15.239952
REGION1,BGHO,2054,15.239952
REGION1,BGHO,2055,15.239952
REGION1,BGHO,2056,15.239952
REGION1,BGHO,2057,15.239952
REGION1,BGHO,2058,15.239952
REGION1,BGHO,2059,15.239952
REGION1,BGHO,2060,15.239952
REGION1,CHHY,2015,133.2
REGION1,CHHY,2016,133.56
