REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BECOSTPH3,2015,15
REGION1,BECOSTPH3,2016,12
REGION1,BECOSTPH3,2017,0
REGION1,BECOSTPH3,2018,0
REGION1,BECOSTPH3,2019,0
REGION1,BECOSTPH3,2020,0
REGION1,BECOSTPH3,2021,0
REGION1,BECOSTPH3,2022,0
REGION1,BECOSTPH3,2023,0
REGION1,BECOSTPH3,2024,0
REGION1,BECOSTPH3,2025,0
REGION1,BECOSTPH3,2026,0
REGION1,BECOSTPH3,2027,0
REGION1,BECOSTPH3,2028,0
REGION1,BECOSTPH3,2029,0
REGION1,BECOSTPH3,2030,0
REGION1,BECOSTPH3,2031,0
REGION1,BECOSTPH3,2032,0
REGION1,BECOSTPH3,2033,0
REGION1,BECOSTPH3,2034,0
REGION1,BECOSTPH3,2035,0
REGION1,BECOSTPH3,2036,0
REGION1,BECOSTPH3,2037,0
REGION1,BECOSTPH3,2038,0
REGION1,BECOSTPH3,2039,0
REGION1,BECOSTPH3,2040,0
REGION1,BECOSTPH3,2041,0
REGION1,BECOSTPH3,2042,0
REGION1,BECOSTPH3,2043,0
REGION1,BECOSTPH3,2044,0
REGION1,BECOSTPH3,2045,0
REGION1,BECOSTPH3,2046,0
REGION1,BECOSTPH3,2047,0
REGION1,BECOSTPH3,2048,0
REGION1,BECOSTPH3,2049,0
REGION1,BECOSTPH3,2050,0
REGION1,BECOSTPH3,2051,0
REGION1,BECOSTPH3,2052,0
REGION1,BECOSTPH3,2053,0
REGION1,BECOSTPH3,2054,0
REGION1,BECOSTPH3,2055,0
REGION1,BECOSTPH3,2056,0
REGION1,BECOSTPH3,2057,0
REGION1,BECOSTPH3,2058,0
REGION1,BECOSTPH3,2059,0
REGION1,BECOSTPH3,2060,0
REGION1,BENG00I00,2015,141
REGION1,BENG00I00,2016,141
REGION1,BENG00I00,2017,130
REGION1,BENG00I00,2018,120
REGION1,BENG00I00,2019,110
REGION1,BENG00I00,2020,100
REGION1,BENG00I00,2021,90
REGION1,BENG00I00,2022,80
REGION1,BENG00I00,2023,0
REGION1,BENG00I00,2024,0
REGION1,BENG00I00,2025,0
REGION1,BENG00I00,2026,0
REGION1,BENG00I00,2027,0
REGION1,BENG00I00,2028,0
REGION1,BENG00I00,2029,0
REGION1,BENG00I00,2030,0
REGION1,BENG00I00,2031,0
REGION1,BENG00I00,2032,0
REGION1,BENG00I00,2033,0
REGION1,BENG00I00,2034,0
REGION1,BENG00I00,2035,0
REGION1,BENG00I00,2036,0
REGION1,BENG00I00,2037,0
REGION1,BENG00I00,2038,0
REGION1,BENG00I00,2039,0
REGION1,BENG00I00,2040,0
REGION1,BENG00I00,2041,0
REGION1,BENG00I00,2042,0
REGION1,BENG00I00,2043,0
REGION1,BENG00I00,2044,0
REGION1,BENG00I00,2045,0
REGION1,BENG00I00,2046,0
REGION1,BENG00I00,2047,0
REGION1,BENG00I00,2048,0
REGION1,BENG00I00,2049,0
REGION1,BENG00I00,2050,0
REGION1,BENG00I00,2051,0
REGION1,BENG00I00,2052,0
REGION1,BENG00I00,2053,0
REGION1,BENG00I00,2054,0
REGION1,BENG00I00,2055,0
REGION1,BENG00I00,2056,0
REGION1,BENG00I00,2057,0
REGION1,BENG00I00,2058,0
REGION1,BENG00I00,2059,0
REGION1,BENG00I00,2060,0
REGION1,DENG00X00,2015,391
REGION1,DENG00X00,2016,391
REGION1,DENG00X00,2017,380
REGION1,DENG00X00,2018,380
REGION1,DENG00X00,2019,380
REGION1,DENG00X00,2020,380
REGION1,DENG00X00,2021,380
REGION1,DENG00X00,2022,386
REGION1,DENG00X00,2023,0
REGION1,DENG00X00,2024,0
REGION1,DENG00X00,2025,0
REGION1,DENG00X00,2026,0
REGION1,DENG00X00,2027,0
REGION1,DENG00X00,2028,0
REGION1,DENG00X00,2029,0
REGION1,DENG00X00,2030,0
REGION1,DENG00X00,2031,0
REGION1,DENG00X00,2032,0
REGION1,DENG00X00,2033,0
REGION1,DENG00X00,2034,0
REGION1,DENG00X00,2035,0
REGION1,DENG00X00,2036,0
REGION1,DENG00X00,2037,0
REGION1,DENG00X00,2038,0
REGION1,DENG00X00,2039,0
REGION1,DENG00X00,2040,0
